# 一致危险谱 (50年超越概率20%)
# 周期(s), 谱加速度(cm/s^2)
0.010, 8.326338e-04
0.015, 1.109197e-02
0.020, 3.550832e-02
0.025, 9.812262e-02
0.030, 1.047843e-01
0.040, 3.590902e-01
0.050, 5.835692e-01
0.060, 7.952928e-01
0.070, 1.076468e+00
0.080, 6.779618e-01
0.090, 1.186586e+00
0.100, 1.041768e+00
0.120, 1.382858e+00
0.150, 8.744315e-01
0.200, 1.084332e+00
0.250, 2.336069e+00
0.300, 3.624677e+00
0.400, 3.069389e+00
0.500, 3.451267e+00
0.600, 2.673950e+00
0.700, 2.346092e+00
0.800, 3.028058e+00
0.900, 3.457138e+00
1.000, 4.422605e+00
1.250, 2.676388e+00
1.500, 4.322942e+00
1.750, 5.170086e+00
2.000, 3.599068e+00
2.500, 4.248328e+00
3.000, 3.277754e+00
4.000, 2.263494e+00
5.000, 4.069502e+00
7.500, 4.160217e+00
10.000, 5.852085e+00
