# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.010, 2.493294e-01, 1.176471e-05
0.010, 1.602279e-01, 2.352941e-05
0.010, 1.362283e-01, 3.529412e-05
0.010, 1.093016e-01, 4.705882e-05
0.010, 7.479904e-02, 5.882353e-05
0.010, 6.677650e-02, 7.058824e-05
0.010, 6.140942e-02, 8.235294e-05
0.010, 6.090759e-02, 9.411765e-05
0.010, 5.916666e-02, 1.058824e-04
0.010, 5.060214e-02, 1.176471e-04
0.010, 4.848139e-02, 1.294118e-04
0.010, 4.778046e-02, 1.411765e-04
0.010, 4.105070e-02, 1.529412e-04
0.010, 3.838577e-02, 1.647059e-04
0.010, 3.552630e-02, 1.764706e-04
0.010, 3.477117e-02, 1.882353e-04
0.010, 3.228211e-02, 2.000000e-04
0.010, 3.199253e-02, 2.117647e-04
0.010, 2.809058e-02, 2.235294e-04
0.010, 2.708607e-02, 2.352941e-04
0.010, 2.677670e-02, 2.470588e-04
0.010, 2.654229e-02, 2.588235e-04
0.010, 2.458030e-02, 2.705882e-04
0.010, 2.392332e-02, 2.823529e-04
0.010, 2.314726e-02, 2.941176e-04
0.010, 2.267281e-02, 3.058824e-04
0.010, 2.179163e-02, 3.176471e-04
0.010, 2.047667e-02, 3.294118e-04
0.010, 2.017064e-02, 3.411765e-04
0.010, 1.838888e-02, 3.529412e-04
0.010, 1.721862e-02, 3.647059e-04
0.010, 1.648996e-02, 3.764706e-04
0.010, 1.646557e-02, 3.882353e-04
0.010, 1.619378e-02, 4.000000e-04
0.010, 1.548286e-02, 4.117647e-04
0.010, 1.539003e-02, 4.235294e-04
0.010, 1.486907e-02, 4.352941e-04
0.010, 1.430536e-02, 4.470588e-04
0.010, 1.422931e-02, 4.588235e-04
0.010, 1.393663e-02, 4.705882e-04
0.010, 1.360569e-02, 4.823529e-04
0.010, 1.303380e-02, 4.941176e-04
0.010, 1.282201e-02, 5.058824e-04
0.010, 1.268300e-02, 5.176471e-04
0.010, 1.260336e-02, 5.294118e-04
0.010, 1.237598e-02, 5.411765e-04
0.010, 1.221276e-02, 5.529412e-04
0.010, 1.217805e-02, 5.647059e-04
0.010, 1.188099e-02, 5.764706e-04
0.010, 1.171240e-02, 5.882353e-04
0.010, 1.153200e-02, 6.000000e-04
0.010, 1.131251e-02, 6.117647e-04
0.010, 1.105284e-02, 6.235294e-04
0.010, 1.069784e-02, 6.352941e-04
0.010, 1.056608e-02, 6.470588e-04
0.010, 9.942501e-03, 6.588235e-04
0.010, 9.847791e-03, 6.705882e-04
0.010, 9.812755e-03, 6.823529e-04
0.010, 9.702123e-03, 6.941176e-04
0.010, 9.681383e-03, 7.058824e-04
0.010, 9.560024e-03, 7.176471e-04
0.010, 9.419844e-03, 7.294118e-04
0.010, 9.374442e-03, 7.411765e-04
0.010, 9.196905e-03, 7.529412e-04
0.010, 8.995262e-03, 7.647059e-04
0.010, 8.991557e-03, 7.764706e-04
0.010, 8.891056e-03, 7.882353e-04
0.010, 8.812607e-03, 8.000000e-04
0.010, 8.791788e-03, 8.117647e-04
0.010, 8.713838e-03, 8.235294e-04
0.010, 8.471341e-03, 8.352941e-04
0.010, 8.363766e-03, 8.470588e-04
0.010, 8.329807e-03, 8.588235e-04
0.010, 8.150267e-03, 8.705882e-04
0.010, 8.114298e-03, 8.823529e-04
0.010, 7.688778e-03, 8.941176e-04
0.010, 7.656519e-03, 9.058824e-04
0.010, 7.579836e-03, 9.176471e-04
0.010, 7.543106e-03, 9.294118e-04
0.010, 7.455555e-03, 9.411765e-04
0.010, 7.412652e-03, 9.529412e-04
0.010, 7.330614e-03, 9.647059e-04
0.010, 7.263824e-03, 9.764706e-04
0.010, 7.235773e-03, 9.882353e-04
0.010, 7.025341e-03, 1.000000e-03
0.010, 6.873722e-03, 1.011765e-03
0.010, 6.784031e-03, 1.023529e-03
