# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.955968e+01
0.2, 1.733428e+01
0.3, 2.319725e+01
0.4, 2.498922e+01
0.5, 1.201738e+01
0.6, 1.122985e+01
0.7, 1.577006e+01
0.8, 1.925164e+01
0.9, 2.191401e+01
1.0, 1.609093e+01
1.1, 1.311653e+01
1.2, 1.905452e+01
1.3, 1.760554e+01
1.4, 1.757903e+01
1.5, 9.595275e+00
1.6, 1.658324e+01
1.7, 1.325503e+01
1.8, 1.459410e+01
1.9, 1.251876e+01
2.0, 1.558827e+01
2.1, 9.993875e+00
2.2, 1.071458e+01
2.3, 1.009480e+01
2.4, 1.590211e+01
2.5, 1.107237e+01
2.6, 1.383705e+01
2.7, 2.478306e+01
2.8, 7.276050e+00
2.9, 1.992715e+01
3.0, 1.092098e+01
3.1, 1.397952e+01
3.2, 1.606905e+01
3.3, 1.398827e+01
3.4, 1.438423e+01
3.5, 9.475569e+00
3.6, 1.086875e+01
3.7, 7.261947e+00
3.8, 1.242344e+01
3.9, 8.846783e+00
4.0, 1.039990e+01
4.1, 1.006891e+01
4.2, 1.346920e+01
4.3, 6.730265e+00
4.4, 6.641140e+00
4.5, 1.021377e+01
4.6, 1.131415e+01
4.7, 6.721797e+00
4.8, 2.308235e+01
4.9, 6.909058e+00
5.0, 1.456674e+01
5.1, 9.984780e+00
5.2, 6.244691e+00
5.3, 5.946505e+00
5.4, 1.606839e+01
5.5, 1.673574e+01
5.6, 3.603323e+00
5.7, 1.033612e+01
5.8, 1.056611e+01
5.9, 1.030623e+01
6.0, 7.240220e+00
6.1, 5.198514e+00
6.2, 1.993343e+01
6.3, 1.053269e+01
6.4, 7.038559e+00
6.5, 6.334841e+00
6.6, 4.729135e+00
6.7, 5.549551e+00
6.8, 6.229110e+00
6.9, 4.175440e+00
7.0, 1.168611e+01
7.1, 5.898495e+00
7.2, 7.680272e+00
7.3, 4.097653e+00
7.4, 5.376288e+00
7.5, 3.662921e+00
7.6, 5.448071e+00
7.7, 2.492956e+00
7.8, 4.643256e+00
7.9, 3.385625e+00
8.0, 7.148780e+00
8.1, 4.469210e+00
8.2, 6.804207e+00
8.3, 4.572694e+00
8.4, 2.931243e+00
8.5, 6.498653e+00
8.6, 3.856106e+00
8.7, 3.203876e+00
8.8, 5.591337e+00
8.9, 5.674031e+00
9.0, 9.777078e+00
9.1, 4.614340e+00
9.2, 2.667033e+00
9.3, 1.566492e+01
9.4, 8.969958e+00
9.5, 3.427982e+00
9.6, 5.332844e+00
9.7, 2.033897e+00
9.8, 4.756704e+00
9.9, 4.077061e+00
10.0, 3.018882e+00

事件 2
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.54, 62.24, -90.1853, 35.3409, 12.37, 19.62

频率(Hz), 加速度谱(cm/s^2)
0.1, 2.541378e+01
0.2, 1.846195e+01
0.3, 2.893968e+01
0.4, 1.833573e+01
0.5, 1.975637e+01
0.6, 1.906895e+01
0.7, 2.229269e+01
0.8, 1.240369e+01
0.9, 1.489690e+01
1.0, 2.979119e+01
1.1, 5.166790e+01
1.2, 2.555004e+01
1.3, 1.635620e+01
1.4, 1.371172e+01
1.5, 1.885451e+01
1.6, 7.377016e+00
1.7, 1.723882e+01
1.8, 1.819387e+01
1.9, 1.716453e+01
2.0, 2.793091e+01
2.1, 1.012637e+01
2.2, 1.585038e+01
2.3, 1.130321e+01
2.4, 1.347596e+01
2.5, 9.509221e+00
2.6, 2.471440e+01
2.7, 1.058414e+01
2.8, 1.215250e+01
