# 条件均值谱
# 周期(s), 谱加速度(cm/s^2)
0.010, 2.793977e-04
0.015, 1.245197e-02
0.020, 7.300722e-02
0.025, 1.822065e-01
0.030, 3.566540e-01
0.040, 9.870895e-01
0.050, 2.097196e+00
0.060, 2.997828e+00
0.070, 4.119238e+00
0.080, 4.917563e+00
0.090, 6.001861e+00
0.100, 5.986012e+00
0.120, 6.388495e+00
0.150, 9.709246e+00
0.200, 9.369020e+00
0.250, 8.163940e+00
0.300, 1.139864e+01
0.400, 1.232703e+01
0.500, 1.117300e+01
0.600, 1.266772e+01
0.700, 1.333092e+01
0.800, 1.362563e+01
0.900, 1.237570e+01
1.000, 1.209903e+01
1.250, 1.273689e+01
1.500, 1.227881e+01
1.750, 1.971343e+01
2.000, 1.728789e+01
2.500, 1.557439e+01
3.000, 1.774691e+01
4.000, 2.027795e+01
5.000, 2.284388e+01
7.500, 2.498314e+01
10.000, 2.246502e+01
